10786,1,0,100,63198000,55367000,42429000,160994000
10899,2,0,100,54395000,66354000,1853613000,1974362000
10900,3,0,100,63345000,55222000,1855106000,1973673000
10901,4,0,100,52696000,66353000,1855307000,1974356000
11555,4,3,103,35063000,9802000,309000,45174000
11560,2,3,103,34383000,10652000,6184000,51219000
11561,1,3,103,45186000,5063000,1036000,51285000
11561,3,3,103,45162000,5196000,1316000,51674000
11627,1,4,104,11163000,13550000,30681000,55394000
11627,3,7,107,9702000,18026000,28285000,56013000
11628,4,1,101,20059000,12079000,23965000,56103000
11628,2,1,101,14683000,17624000,24149000,56456000
11643,1,3,103,6398000,5763000,196000,12357000
11644,2,4,1005,8496000,5827000,884000,15207000
11799,4,4,1005,15759000,5759000,109696000,131214000
11800,3,1,101,15924000,11518000,105047000,132489000
11801,1,1,101,21503000,8488000,103493000,133484000
11802,2,7,107,22837000,8038000,103286000,134161000
11866,4,1,101,158000,9555000,32234000,41947000
11885,2,1,101,278000,8355000,33321000,41954000
11886,1,1,101,142000,9946000,32615000,42703000
11966,1,4,1005,65179000,6160000,1779000,73118000
11969,3,3,103,84283000,13732000,2811000,100826000
11969,4,1,101,74954000,11083000,3246000,89283000
11970,2,1,101,65288000,9108000,2964000,77360000
12096,4,1,101,13150000,9207000,78439000,100796000
12097,3,4,104,26634000,7684000,66892000,101210000
12097,1,7,107,31927000,8446000,58574000,98947000
12098,2,1,101,1275000,8886000,29166000,39327000
12133,3,1,101,105000,4697000,123000,4925000
12137,4,9,109,240000,9531000,454000,10225000
12138,1,1,101,98000,5392000,483000,5973000
12143,2,1,101,193000,4970000,4811000,9974000
12153,2,1,101,128000,5102000,111000,5341000
12159,3,1,101,347000,4994000,111000,5452000
12164,4,7,107,5002000,4904000,126000,10032000
12234,4,4,1005,1100000,2723000,27708000,31531000
12234,3,4,1005,1061000,3040000,27803000,31904000
12235,1,4,1005,4358000,1105000,27273000,32736000
12237,2,1,101,4280000,3956000,26112000,34348000
12265,1,4,1005,13648000,1635000,2592000,17875000
12272,4,1,101,36510000,1983000,9467000,47960000
12273,2,4,1005,13555000,2394000,9968000,25917000
12275,3,1,101,11908000,4068000,10944000,26920000
