2596,0,0,100,2034005000
2612,0,0,100,2107304000
2607,0,0,100,2099966000
2536,0,0,100,204877000
2741,4,3,103,115370000
2727,3,3,103,117566000
2670,1,3,103,92455000
2742,2,3,103,112511000
2805,2,1,101,62265000
2736,1,4,104,65191000
2749,1,3,103,12483000
2812,3,7,107,74829000
2829,4,1,101,83916000
2824,2,4,1005,18266000
2983,4,4,1005,151778000
2997,2,7,107,166316000
2935,1,1,101,184742000
3029,3,1,101,216347000
3056,4,1,101,61941000
3062,2,1,101,50894000
2998,1,1,101,49501000
3135,3,3,103,104540000
3162,4,1,101,104862000
3102,1,4,1005,103338000
3183,2,1,101,119562000
3275,2,1,101,59061000
3208,1,7,107,103469000
3273,3,4,104,136088000
3289,4,1,101,125820000
3321,2,1,101,42929000
3318,3,1,101,45121000
3336,4,9,109,45967000
3347,4,7,107,10452000
3331,3,1,101,11060000
3352,2,1,101,30584000
3282,1,1,101,71074000
3405,4,4,1005,57314000
3341,1,4,1005,48558000
3420,2,1,101,54606000
3413,3,4,1005,79777000
3450,2,4,1005,29241000
3441,3,1,101,27091000
3372,1,4,1005,29882000
3483,4,1,101,77098000
3495,2,4,1005,44812000
3556,1,4,1005,149539000
3629,2,4,1005,78478000
3618,3,1,101,60691000
3634,4,4,1005,151068000
3674,4,4,1005,35446000
3659,3,1,101,33503000
3673,2,1,101,38429000
3678,2,4,1005,4504000
3634,1,1,101,75585000
3720,4,1,101,45186000
3710,3,1,101,50289000
3796,4,1,101,74705000
3781,3,1,101,69702000
3722,1,4,1005,87327000
3854,2,4,1005,157574000
3809,1,4,1005,85868000
3824,1,1,101,11866000
3896,2,7,107,41546000
3918,4,7,107,121330000
3906,3,1,101,124523000
3974,1,1,101,148990000
4069,3,1,101,149124000
4080,2,1,101,183197000
4068,4,1,101,147964000
4036,1,1,101,61086000
4098,3,4,1005,28423000
4127,2,1,101,45712000
4084,1,1,101,46269000
4170,2,4,1005,40322000
4204,4,7,107,82731000
4200,3,3,103,99242000
4229,2,4,1005,53453000
4177,1,4,1005,92572000
4273,4,1,101,66991000
4294,2,1,101,56242000
4228,1,1,101,40895000
4290,3,1,101,90015000
4346,2,1,101,51527000
4352,1,7,107,123727000
4438,4,1,101,164018000
4470,3,4,1005,178692000
4505,4,1,101,63344000
4522,2,7,107,160087000
4512,3,1,101,41566000
4464,1,1,101,109735000
4551,4,1,101,43337000
4546,3,4,1005,33528000
4559,2,3,103,35845000
4554,1,7,107,87877000
4703,4,7,107,151710000
4747,3,1,101,199041000
4791,2,1,101,224365000
4741,1,1,101,186138000
4862,4,7,107,157445000
4887,3,4,1005,119804000
4918,2,1,101,119979000
4935,4,4,1005,72530000
4866,1,1,101,85952000
4980,2,4,1005,61796000
4995,3,4,1005,107445000
5027,4,1,101,91290000
4954,1,1,101,87183000
5109,3,1,101,110550000
5049,1,1,101,58140000
5121,2,4,1005,132750000
5141,4,1,101,110376000
5080,1,1,101,30333000
5190,3,4,1005,75734000
5233,2,7,107,112349000
5169,1,1,101,87788000
5356,4,7,107,214776000
5354,2,7,107,120217000
5286,1,4,1005,115879000
5346,3,4,1005,150718000
5358,3,4,1005,10090000
5384,4,4,1005,27180000
5329,1,1,101,42414000
5417,2,7,107,62384000
5350,1,1,101,18021000
5433,4,1,101,48363000
5357,1,7,107,6247000
5417,3,4,1005,58606000
5437,2,7,107,19289000
5487,2,7,107,48507000
5486,3,1,101,59988000
5511,4,3,103,69769000
5436,1,7,107,77867000
5449,1,7,107,8344000
5537,4,1,101,25952000
5534,2,4,1005,45933000
5466,1,1,101,15999000
5535,3,9,109,47983000
5588,4,1,101,49573000
5592,4,1,101,3454000
5520,1,1,101,52185000
5584,3,1,101,47987000
5525,1,3,103,2260000
5596,2,4,1005,58085000
5600,3,1,101,14309000
5549,1,4,104,23304000
